the max acc is 9930
no.	acc	ninas	ntk	tot
9930	73.493	1.400	0.425	1.825
===========================================================================
the problems are here (45):
no.	acc	ninas	ntk	tot
4670	10.410	-3.544	-2.176	-130.484	-134.028
7994	10.260	-3.598	-2.178	-130.199	-133.797
12330	29.813	-3.757	-2.209	-124.026	-127.783
7626	10.700	-3.525	-2.171	-123.633	-127.158
1477	10.253	-3.593	-2.180	-123.340	-126.933
4949	34.220	-3.520	-2.207	-122.587	-126.107
15143	37.533	-3.508	-2.201	-121.862	-125.370
157	9.767	-3.751	-2.179	-121.182	-124.933
954	10.427	-3.581	-2.177	-118.253	-121.834
7739	33.520	-3.613	-2.206	-116.352	-119.966
2983	10.290	-3.694	-2.178	-115.173	-118.868
5171	32.373	-3.633	-2.208	-113.487	-117.120
2190	31.740	-3.526	-2.210	-112.377	-115.903
931	33.887	-3.488	-2.206	-112.055	-115.543
832	10.393	-3.580	-2.180	-111.916	-115.496
1125	10.213	-3.640	-2.180	-111.204	-114.844
9701	30.450	-3.720	-2.211	-109.745	-113.466
1221	34.113	-3.592	-2.207	-108.988	-112.579
13334	10.080	-3.730	-2.179	-107.856	-111.585
1570	32.327	-3.660	-2.209	-107.822	-111.482
11325	30.140	-3.738	-2.212	-106.113	-109.851
14459	31.340	-3.620	-2.211	-105.410	-109.030
6201	10.507	-3.599	-2.177	-104.344	-107.943
3091	29.820	-3.691	-2.213	-101.064	-104.755
4610	10.030	-3.629	-2.180	-98.897	-102.525
13013	10.413	-3.589	-2.175	-98.338	-101.927
8731	32.230	-3.645	-2.210	-95.592	-99.237
14823	28.860	-3.635	-2.215	-92.981	-96.616
5050	30.980	-3.692	-2.210	-92.159	-95.851
12367	29.280	-3.761	-2.212	-91.487	-95.248
11227	9.860	-3.628	-2.180	-85.833	-89.461
10766	30.120	-3.816	-2.211	-85.463	-89.279
9681	10.660	-3.475	-2.174	-85.582	-89.056
7066	31.247	-3.621	-2.207	-84.342	-87.962
13143	31.540	-3.707	-2.210	-84.156	-87.863
5996	29.400	-3.902	-2.212	-83.662	-87.564
7774	34.220	-3.568	-2.205	-83.528	-87.096
11018	10.320	-3.565	-2.177	-82.786	-86.352
15055	10.333	-3.591	-2.178	-79.348	-82.940
11342	10.773	-3.556	-2.175	-75.976	-79.532
297	9.770	-3.692	-2.182	-75.780	-79.472
10712	37.360	-3.434	-2.200	-75.417	-78.851
7245	32.210	-3.679	-2.210	-74.653	-78.333
15275	30.053	-3.705	-2.213	-74.507	-78.212
10830	33.240	-3.671	-2.207	-73.716	-77.388
12908	10.410	-3.520	-2.177	-73.143	-76.663
8899	31.413	-3.659	-2.210	-72.679	-76.338
58	33.693	-3.565	-2.206	-72.550	-76.115
8747	30.780	-3.654	-2.211	-72.250	-75.904
1586	12.473	-3.297	-2.168	-71.997	-75.294
521	32.207	-3.621	-2.209	-69.673	-73.293
